title,summary,source,published_at,url
Tesla Is Losing the EV War to Chinese Carmakers,"For the second straight quarter, Tesla’s sales have declined while Chinese rivals like BYD and NIO are surging, a sign of a major power shift in the global electric vehicle market.",Gizmodo.com,2025-07-07T16:45:47Z,https://gizmodo.com/tesla-is-losing-the-ev-war-to-chinese-carmakers-2000625079
Underwater turbine spinning for 6 years off Scotland's coast is a breakthrough for tidal energy,"Submerged in about 40 meters (44 yards) of water off Scotland's coast, a turbine has been spinning for more than six years to harness the power of ocean...",Yahoo Entertainment,2025-07-07T16:53:42Z,https://www.yahoo.com/news/underwater-turbine-spinning-6-years-165342897.html
Natural Gas Harms US Economy And Won’t Solve Rising Electricity Demand,Renewable energy has generated more power than natural gas because it provides cheap and fast electricity to meet demand.,Forbes,2025-07-06T11:56:00Z,https://www.forbes.com/sites/energyinnovation/2025/07/06/natural-gas-harms-us-economy-and-wont-solve-rising-electricity-demand/
"Thanks to Trump, the clean energy industry is in jeopardy","The ""One Big Beautiful Bill Act"" takes aim at American jobs and technology",Salon,2025-07-06T13:00:13Z,https://www.salon.com/2025/07/06/thanks-to-trump-the-clean-energy-industry-is-in-jeopardy/
Chevron and Exxon Lead $34B US-Indonesia Energy and Trade Pact,"CVX and Exxon Mobil, in a strategic collaboration with Pertamina, lead a $34 billion US-Indonesia agreement to boost energy and agri-trade ties.",Yahoo Entertainment,2025-07-08T12:05:00Z,https://finance.yahoo.com/news/chevron-exxon-lead-34b-us-120500761.html
Global Carbon Emissions Reach Record High Despite Green Efforts,"So much for ""green energy will save us"" hype. Carbon emssions keep rising.",Nakedcapitalism.com,2025-07-05T10:10:50Z,https://www.nakedcapitalism.com/2025/07/global-carbon-emissions-reach-record-high-despite-green-efforts.html
"“AI YOUR LIFE”, Anywhere: Hisense Transforms Stadium Excitement into Home Immersion","Hisense technology elevates the experience and emotion of sport, even when you're not at the game.",Gizmodo.com,2025-07-08T07:00:42Z,https://gizmodo.com/from-pitch-to-living-room-how-hisense-turns-ai-your-life-into-real-experiences-2000620947
UK Scientists Achieve First Commercial Tritium Production,"Interesting Engineering reports:
Astral Systems, a UK-based private commercial fusion company, has claimed to have become the first firm to successfully breed tritium, a vital fusion fuel, using its own operational fusion reactor. This achievement, made with …",Slashdot.org,2025-07-05T22:34:00Z,https://hardware.slashdot.org/story/25/07/05/150216/uk-scientists-achieve-first-commercial-tritium-production
BRICS Demand Wealthy Nations Fund Global Climate Transition,"Leaders of the BRICS group of developing nations addressed the shared challenges of global warming on Monday, the final day of their summit in Rio de Janeiro, demanding that wealthy nations fund mitigation of greenhouse gas emissions in poorer nations. From a…",Slashdot.org,2025-07-07T20:15:00Z,https://news.slashdot.org/story/25/07/07/1926225/brics-demand-wealthy-nations-fund-global-climate-transition
Netflix Says 50% of Global Users Now Watch Anime,"An anonymous reader shares a report: Netflix doubled down on its global anime strategy over the weekend, unveiling a slate of new titles and fresh footage during its showcase at Anime Expo in Los Angeles. 

The company also shared updated viewership data high…",Slashdot.org,2025-07-07T18:15:00Z,https://entertainment.slashdot.org/story/25/07/07/184247/netflix-says-50-of-global-users-now-watch-anime
